T,F,B,Eta,-x,+x
0.200, -10.000, 2.000,  1.000, 1.000, 0.000
0.200, -9.000, 2.000,  1.000, 1.000, 0.000
0.200, -8.000, 2.000,  1.000, 1.000, 0.000
0.200, -7.000, 2.000,  1.000, 1.000, 0.000
0.200, -6.000, 2.000,  1.000, 1.000, 0.000
0.200, -5.000, 2.000,  1.000, 1.000, 0.000
0.200, -4.000, 2.000,  1.000, 1.000, 0.000
0.200, -3.000, 2.000,  1.000, 1.000, 0.000
0.200, -2.000, 2.000,  1.000, 1.000, 0.000
0.200, -1.000, 2.000,  1.000, 1.000, 0.000
0.200, 0.000, 2.000,  1.000, 0.482, 0.518
0.200, 1.000, 2.000,  1.000, 0.000, 1.000
0.200, 2.000, 2.000,  1.000, 0.000, 1.000
0.200, 3.000, 2.000,  1.000, 0.000, 1.000
0.200, 4.000, 2.000,  1.000, 0.000, 1.000
0.200, 5.000, 2.000,  1.000, 0.000, 1.000
0.200, 6.000, 2.000,  1.000, 0.000, 1.000
0.200, 7.000, 2.000,  1.000, 0.000, 1.000
0.200, 8.000, 2.000,  1.000, 0.000, 1.000
0.200, 9.000, 2.000,  1.000, 0.000, 1.000
0.200, 10.000, 2.000,  1.000, 0.000, 1.000
