Temperatura,Cinetica,Potencial
0.200, 0.102, 0.870

0.200, 0.100, 0.871

0.200, 0.100, 0.870

0.200, 0.098, 1.876

0.200, 0.100, 1.874

0.200, 0.100, 1.878

0.200, 0.101, 4.890

0.200, 0.099, 4.891

0.200, 0.099, 4.888
Temperatura,Cinetica,Potencial
Temperatura,Cinetica,Potencial
0.200, 0.091, 0.823
0.200, 0.090, 0.823
0.200, 0.091, 0.823
0.200, 0.091, 0.823
0.200, 0.091, 0.823
0.200, 0.090, 0.823
0.200, 0.091, 0.825
0.200, 0.090, 1.678
0.200, 0.090, 1.678
0.200, 0.090, 1.678
0.200, 0.089, 4.194
0.200, 0.090, 4.194
0.200, 0.090, 4.194
1.000, 0.443, 0.830
1.000, 0.451, 0.834
1.000, 0.452, 0.834
1.000, 0.451, 1.557
1.000, 0.451, 1.557
1.000, 0.452, 1.558
1.000, 0.448, 4.117
1.000, 0.451, 4.111
1.000, 0.451, 4.112
10.000, 4.461, 1.679
10.000, 4.466, 1.679
10.000, 4.472, 1.680
10.000, 4.436, 2.518
10.000, 4.489, 2.530
10.000, 4.470, 2.527
10.000, 4.453, 4.685
10.000, 4.469, 4.684
10.000, 4.468, 4.687
100.000, 45.576, 4.575
100.000, 45.094, 4.554
100.000, 45.056, 4.551
100.000, 45.855, 6.778
100.000, 44.975, 6.735
100.000, 44.987, 6.741
100.000, 45.646, 10.962
100.000, 44.810, 10.889
100.000, 44.877, 10.909
0.020, 0.009, 0.839
0.020, 0.009, 0.839
0.020, 0.009, 0.839
0.020, 0.009, 1.678
0.020, 0.009, 1.678
0.020, 0.009, 1.678
0.020, 0.009, 4.194
0.020, 0.009, 4.194
0.020, 0.009, 4.194
0.020, 0.009, 0.839
0.020, 0.009, 0.839
0.020, 0.009, 0.839
0.020, 0.009, 1.678
0.020, 0.009, 1.678
0.020, 0.009, 1.678
0.020, 0.009, 4.194
0.020, 0.009, 4.194
0.020, 0.009, 4.194
0.200, 0.089, 4.194
0.200, 0.090, 4.194
0.200, 0.090, 4.194
0.160, 0.071, 0.839
0.040, 0.018, 0.839
0.080, 0.036, 0.839
0.100, 0.045, 0.839
0.050, 0.023, 0.839
0.070, 0.031, 0.839
0.200, 0.239, 0.815
0.200, 0.091, 0.825
0.200, 0.079, 0.835
0.200, 0.089, 0.822
0.200, 0.090, 0.823
0.200, 0.090, 0.823
0.200, 0.091, 0.825
0.200, 0.091, 1.678
0.200, 0.090, 1.678
0.200, 0.090, 1.678
0.200, 0.089, 4.194
0.200, 0.090, 4.194
0.200, 0.090, 4.194
0.200, 0.099, 0.865
0.200, 0.100, 0.861
0.200, 0.100, 0.882
0.200, 0.101, 1.875
0.200, 0.100, 1.863
0.200, 0.099, 0.865
0.200, 0.100, 0.861
0.200, 0.100, 0.882
0.200, 0.101, 1.875
0.200, 0.100, 1.863
0.200, 0.099, 1.872
0.200, 0.093, 4.900
0.200, 0.096, 4.898
0.200, 0.099, 4.895
0.200, 0.099, 0.865
0.200, 0.100, 0.861
0.200, 0.100, 0.882
0.200, 0.101, 1.875
0.200, 0.100, 1.863
0.200, 0.099, 1.872
0.200, 0.093, 4.900
0.200, 0.096, 4.898
0.200, 0.099, 4.895
0.200, 0.099, 0.865
0.200, 0.100, 0.861
0.200, 0.100, 0.882
0.200, 0.101, 1.875
0.200, 0.100, 1.863
0.200, 0.099, 1.872
0.200, 0.093, 4.900
0.200, 0.096, 4.898
0.200, 0.099, 4.895
0.200, 0.099, 0.865
0.200, 0.100, 0.861
0.200, 0.100, 0.882
0.200, 0.101, 1.875
0.200, 0.100, 1.863
0.200, 0.099, 1.872
0.200, 0.093, 4.900
0.200, 0.096, 4.898
0.200, 0.099, 4.895
0.200, 0.099, 0.865
0.200, 0.100, 0.861
0.200, 0.100, 0.882
0.200, 0.101, 1.875
0.200, 0.100, 1.863
0.200, 0.099, 1.872
0.200, 0.093, 4.900
0.200, 0.096, 4.898
0.200, 0.099, 4.895
0.200, 0.101, 0.876
0.200, 0.267, 0.831
0.200, 0.100, 1.884
0.200, 0.267, 1.856
0.200, 0.100, 4.893
0.200, 0.267, 4.844
0.200, 0.100, 999.849
0.200, 0.146, 999.813
