N,F,Temperatura,B,EtaOnM,KOnM,Tiempo,dt,R_G,Ree,Cinetica,Potencial
4, 0.00, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.61, 1.59, 0.02, 0.0050
8, 0.00, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.45, 2.74, 0.01, 0.0049
16, 0.00, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 4.38, 5.39, 0.01, 0.0048
32, 0.00, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 17.50, 12.14, 0.01, 0.0048
64, 0.00, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 91.90, 39.59, 0.01, 0.0045
128, 0.00, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 269.93, 95.39, 0.01, 0.0041
256, 0.00, 0.010, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1019.75, 221.32, 0.01, 0.0034
4, 0.00, 0.001, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.59, 1.50, 0.00, 0.0005
8, 0.00, 0.001, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 2.28, 3.83, 0.00, 0.0005
16, 0.00, 0.001, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 10.41, 9.67, 0.00, 0.0005
32, 0.00, 0.001, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 44.08, 23.32, 0.00, 0.0005
64, 0.00, 0.001, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 141.61, 55.13, 0.00, 0.0005
128, 0.00, 0.001, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 509.73, 116.09, 0.00, 0.0004
256, 0.00, 0.001, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1073.74, 243.59, 0.00, 0.0003
4, 0.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.61, 1.59, 0.15, 0.0503
8, 0.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.29, 2.45, 0.15, 0.0493
16, 0.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 2.78, 3.91, 0.15, 0.0489
32, 0.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 5.17, 5.38, 0.15, 0.0482
64, 0.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 26.83, 14.70, 0.15, 0.0461
128, 0.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 147.09, 50.09, 0.15, 0.0413
256, 0.00, 0.100, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 536.87, 167.91, 0.15, 0.0331
4, 0.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.65, 1.67, 1.49, 0.5053
8, 0.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.33, 2.49, 1.49, 0.5007
16, 0.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 2.58, 3.61, 1.49, 0.4966
32, 0.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 4.95, 5.25, 1.49, 0.4888
64, 0.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 9.54, 8.01, 1.49, 0.4669
128, 0.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 52.05, 20.82, 1.49, 0.4258
256, 0.00, 1.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 280.94, 69.10, 1.49, 0.3482
4, 0.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 0.92, 1.97, 15.05, 5.8898
8, 0.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 1.91, 2.98, 14.86, 5.8087
16, 0.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 3.69, 4.31, 14.91, 5.7669
32, 0.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 7.00, 6.27, 14.91, 5.6872
64, 0.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 11.64, 8.77, 14.95, 5.4297
128, 0.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 23.92, 14.93, 14.92, 4.8215
256, 0.00, 10.000, 1.00, 1.00, 100.00, 5.0e+03, 1.0e-02, 134.22, 28.26, 14.90, 3.8353
